,Date,Prices
185,2017-10-17,5590.689940999999
186,2017-10-18,5708.520019999999
187,2017-10-19,6011.450194999999
188,2017-10-20,6031.600097999999
189,2017-10-21,6008.419922
190,2017-10-22,5930.319824
191,2017-10-23,5526.640136999999
192,2017-10-24,5750.799804999999
193,2017-10-25,5904.830078
194,2017-10-26,5780.899901999999
195,2017-10-27,5753.089844
196,2017-10-28,6153.850097999999
197,2017-10-29,6130.529784999999
198,2017-10-30,6468.399901999999
199,2017-10-31,6767.3100589999995
200,2017-11-01,7078.499999999999
201,2017-11-02,7207.759765999999
202,2017-11-03,7379.950194999999
203,2017-11-04,7407.410156
204,2017-11-05,7022.759765999999
205,2017-11-06,7144.379882999999
206,2017-11-07,7459.689941
207,2017-11-08,7143.580077999999
208,2017-11-09,6618.140136999999
209,2017-11-10,6357.600097999999
210,2017-11-11,5950.069823999999
211,2017-11-12,6559.490234
212,2017-11-13,6635.75
213,2017-11-14,7315.5400389999995
214,2017-11-15,7871.689941
215,2017-11-16,7708.990233999998
216,2017-11-17,7790.149902
217,2017-11-18,8036.490233999999
218,2017-11-19,8200.639648
219,2017-11-20,8071.259765999999
220,2017-11-21,8253.549805
221,2017-11-22,8038.77002
222,2017-11-23,8253.69043
223,2017-11-24,8790.919922
224,2017-11-25,9330.549805
225,2017-11-26,9818.349609
226,2017-11-27,10058.799805
227,2017-11-28,9888.610352
228,2017-11-29,10233.599609
229,2017-11-30,10975.599609
230,2017-12-01,11074.599609
231,2017-12-02,11323.200195
232,2017-12-03,11657.200195
233,2017-12-04,11916.700194999998
234,2017-12-05,14291.5
235,2017-12-06,17899.699219
236,2017-12-07,16569.400391
237,2017-12-08,15178.200195
238,2017-12-09,15455.400391
239,2017-12-10,16936.800781
240,2017-12-11,17415.400391
241,2017-12-12,16408.199219
242,2017-12-13,16564.0
243,2017-12-14,17706.900391
244,2017-12-15,19497.400391
245,2017-12-16,19140.800781
246,2017-12-17,19114.199219
247,2017-12-18,17776.699219
248,2017-12-19,16624.599609
249,2017-12-20,15802.900391
250,2017-12-21,13831.799805
251,2017-12-22,14699.200195
252,2017-12-23,13925.799805
253,2017-12-24,14026.599609
254,2017-12-25,16099.799805
255,2017-12-26,15838.5
256,2017-12-27,14606.5
257,2017-12-28,14656.200195
258,2017-12-29,12952.200195
259,2017-12-30,14156.400391
260,2017-12-31,13657.200195
261,2018-01-01,14982.099609
262,2018-01-02,15201.0
263,2018-01-03,15599.200195
264,2018-01-04,17429.5
265,2018-01-05,17527.0
266,2018-01-06,16477.599609
267,2018-01-07,15170.099609
268,2018-01-08,14595.400391
269,2018-01-09,14973.299805
270,2018-01-10,13405.799805
271,2018-01-11,13980.599609
272,2018-01-12,14360.200195
273,2018-01-13,13772.0
274,2018-01-14,13819.799805
275,2018-01-15,11490.5
276,2018-01-16,11188.599609
277,2018-01-17,11474.900391
278,2018-01-18,11607.400391
279,2018-01-19,12899.200195
280,2018-01-20,11600.099608999999
281,2018-01-21,10931.400391
282,2018-01-22,10868.400391
283,2018-01-23,11359.400391
284,2018-01-24,11259.400391
285,2018-01-25,11171.400391
286,2018-01-26,11440.700195
287,2018-01-27,11786.299805
288,2018-01-28,11296.400391
289,2018-01-29,10106.299805
290,2018-01-30,10221.099609
291,2018-01-31,9170.540039
292,2018-02-01,8830.75
293,2018-02-02,9174.910156
294,2018-02-03,8277.009766
295,2018-02-04,6955.270019999999
296,2018-02-05,7753.999999999999
297,2018-02-06,7621.299804999999
298,2018-02-07,8265.589843999998
299,2018-02-08,8736.980469
300,2018-02-09,8621.900391
301,2018-02-10,8129.970214999999
302,2018-02-11,8926.570313
303,2018-02-12,8598.30957
304,2018-02-13,9494.629883
305,2018-02-14,10166.400391
306,2018-02-15,10233.900391
307,2018-02-16,11112.700195
308,2018-02-17,10551.799805
309,2018-02-18,11225.299805
310,2018-02-19,11403.700195
311,2018-02-20,10690.400391
312,2018-02-21,10005.0
313,2018-02-22,10301.099609
314,2018-02-23,9813.070313
315,2018-02-24,9664.730469
316,2018-02-25,10366.700195
317,2018-02-26,10725.599609
318,2018-02-27,10397.900391
319,2018-02-28,10951.0
320,2018-03-01,11086.400391
321,2018-03-02,11489.700195
322,2018-03-03,11512.599609
323,2018-03-04,11573.299805
324,2018-03-05,10779.900391
325,2018-03-06,9965.570313
326,2018-03-07,9395.009766
327,2018-03-08,9337.549805
328,2018-03-09,8866.0
329,2018-03-10,9578.629883
330,2018-03-11,9205.120117
331,2018-03-12,9194.849609
332,2018-03-13,8269.809569999998
333,2018-03-14,8300.860352
334,2018-03-15,8338.349609
335,2018-03-16,7916.879882999999
336,2018-03-17,8223.679688
337,2018-03-18,8630.650391
338,2018-03-19,8913.469727
339,2018-03-20,8929.280273
340,2018-03-21,8728.469727
341,2018-03-22,8879.620117
342,2018-03-23,8668.120117
343,2018-03-24,8495.780273
344,2018-03-25,8209.400390999997
345,2018-03-26,7833.040039
346,2018-03-27,7954.479979999999
347,2018-03-28,7165.700194999999
348,2018-03-29,6890.520019999999
349,2018-03-30,6973.529784999999
350,2018-03-31,6844.229979999999
351,2018-04-01,7083.799805
352,2018-04-02,7456.109863
353,2018-04-03,6853.839844
354,2018-04-04,6811.470214999999
355,2018-04-05,6636.319823999999
356,2018-04-06,6911.089844
357,2018-04-07,7023.52002
358,2018-04-08,6770.729979999999
359,2018-04-09,6834.759765999999
360,2018-04-10,6968.319823999999
361,2018-04-11,7889.249999999999
362,2018-04-12,7895.959960999999
363,2018-04-13,7986.240233999999
364,2018-04-14,8329.110352
365,2018-04-15,8058.669922
366,2018-04-16,7902.089843999999
367,2018-04-17,8163.419921999999
368,2018-04-18,8294.30957
369,2018-04-19,8845.830078
370,2018-04-20,8895.580078
371,2018-04-21,8802.459961
372,2018-04-22,8930.879883
373,2018-04-23,9697.5
374,2018-04-24,8845.740233999999
375,2018-04-25,9281.509766
376,2018-04-26,8987.049805
377,2018-04-27,9348.480469
378,2018-04-28,9419.080078
379,2018-04-29,9240.549805
380,2018-04-30,9119.009766
381,2018-05-01,9235.919922
382,2018-05-02,9743.860352
383,2018-05-03,9700.759766
384,2018-05-04,9858.150391
385,2018-05-05,9654.799805
386,2018-05-06,9373.009766
387,2018-05-07,9234.820313
388,2018-05-08,9325.179688
389,2018-05-09,9043.94043
390,2018-05-10,8441.490234
391,2018-05-11,8504.889648
392,2018-05-12,8723.94043
393,2018-05-13,8716.790039
394,2018-05-14,8510.379883
395,2018-05-15,8368.830078
396,2018-05-16,8094.319823999999
397,2018-05-17,8250.969727
398,2018-05-18,8247.179688
399,2018-05-19,8513.25
400,2018-05-20,8418.990234
401,2018-05-21,8041.779785
402,2018-05-22,7557.819823999999
403,2018-05-23,7587.339844
404,2018-05-24,7480.140137
405,2018-05-25,7355.879882999999
406,2018-05-26,7368.220214999999
407,2018-05-27,7135.990234
408,2018-05-28,7472.589844
409,2018-05-29,7406.52002
410,2018-05-30,7494.169921999999
411,2018-05-31,7541.450195
412,2018-06-01,7643.450195
413,2018-06-02,7720.25
414,2018-06-03,7514.470215
415,2018-06-04,7633.759766
416,2018-06-05,7653.97998
417,2018-06-06,7678.240234
418,2018-06-07,7624.919922
419,2018-06-08,7531.97998
420,2018-06-09,6786.020019999999
421,2018-06-10,6906.919921999999
422,2018-06-11,6582.359863
423,2018-06-12,6349.899901999999
424,2018-06-13,6675.350098
425,2018-06-14,6456.580078
426,2018-06-15,6550.160156
427,2018-06-16,6499.270019999999
428,2018-06-17,6734.819824
429,2018-06-18,6769.939940999999
430,2018-06-19,6776.549804999999
431,2018-06-20,6729.740234
432,2018-06-21,6083.689940999999
433,2018-06-22,6162.479979999999
434,2018-06-23,6173.229979999999
435,2018-06-24,6249.180175999999
436,2018-06-25,6093.669922
437,2018-06-26,6157.129883
438,2018-06-27,5903.439941
439,2018-06-28,6218.299805
440,2018-06-29,6403.999999999999
441,2018-06-30,6385.819824
442,2018-07-01,6614.180176
443,2018-07-02,6529.589843999999
444,2018-07-03,6597.549805
445,2018-07-04,6639.140137
446,2018-07-05,6673.5
447,2018-07-06,6856.930175999999
448,2018-07-07,6773.879882999999
449,2018-07-08,6741.749999999999
450,2018-07-09,6329.950195
451,2018-07-10,6394.709960999999
452,2018-07-11,6228.8100589999995
453,2018-07-12,6238.049805
454,2018-07-13,6276.120117
455,2018-07-14,6359.640136999999
456,2018-07-15,6741.749999999999
457,2018-07-16,7321.040039
458,2018-07-17,7370.779784999999
459,2018-07-18,7466.859862999999
460,2018-07-19,7354.129883
461,2018-07-20,7419.2900389999995
462,2018-07-21,7418.490234
463,2018-07-22,7711.109862999999
464,2018-07-23,8424.269531
465,2018-07-24,8181.390137
466,2018-07-25,7951.580078
467,2018-07-26,8165.009765999999
468,2018-07-27,8192.150391
469,2018-07-28,8218.459960999999
470,2018-07-29,8180.47998
471,2018-07-30,7780.439941
472,2018-07-31,7624.910156
473,2018-08-01,7567.149901999999
474,2018-08-02,7434.390136999999
475,2018-08-03,7032.850098
476,2018-08-04,7068.47998
477,2018-08-05,6951.799805
478,2018-08-06,6753.1201169999995
479,2018-08-07,6305.799805
480,2018-08-08,6568.229979999999
481,2018-08-09,6184.709961
482,2018-08-10,6295.729979999999
483,2018-08-11,6322.689940999999
484,2018-08-12,6297.569824
485,2018-08-13,6199.709960999999
486,2018-08-14,6308.520019999999
487,2018-08-15,6334.729979999999
488,2018-08-16,6580.629883
489,2018-08-17,6423.759766
490,2018-08-18,6506.069823999999
491,2018-08-19,6308.529784999999
492,2018-08-20,6488.759765999999
493,2018-08-21,6376.709961
494,2018-08-22,6534.879882999999
495,2018-08-23,6719.959961
496,2018-08-24,6763.189941
497,2018-08-25,6707.259766
498,2018-08-26,6884.640136999999
499,2018-08-27,7096.279785
500,2018-08-28,7047.160155999999
501,2018-08-29,6978.229979999999
502,2018-08-30,7037.580078
503,2018-08-31,7193.25
504,2018-09-01,7272.720214999999
505,2018-09-02,7260.060059
506,2018-09-03,7361.660155999999
507,2018-09-04,6792.830078
508,2018-09-05,6529.169922
509,2018-09-06,6467.069823999999
510,2018-09-07,6225.979979999999
511,2018-09-08,6300.859862999999
512,2018-09-09,6329.700194999999
513,2018-09-10,6321.200195
514,2018-09-11,6351.799805
515,2018-09-12,6517.310059
516,2018-09-13,6512.709960999999
517,2018-09-14,6543.200195
518,2018-09-15,6517.180175999999
519,2018-09-16,6281.200194999999
520,2018-09-17,6371.299805
521,2018-09-18,6398.5400389999995
522,2018-09-19,6519.669922
523,2018-09-20,6734.950195
524,2018-09-21,6721.97998
525,2018-09-22,6710.629883
526,2018-09-23,6595.410156
527,2018-09-24,6446.470215
528,2018-09-25,6495.0
529,2018-09-26,6676.75
530,2018-09-27,6644.129883
531,2018-09-28,6601.959961
532,2018-09-29,6625.5600589999995
533,2018-09-30,6589.6201169999995
534,2018-10-01,6556.100098
535,2018-10-02,6502.589843999999
536,2018-10-03,6576.689940999999
537,2018-10-04,6622.47998
538,2018-10-05,6588.310059
539,2018-10-06,6602.950195
540,2018-10-07,6652.22998
541,2018-10-08,6642.640136999999
542,2018-10-09,6585.529785
543,2018-10-10,6256.240234
544,2018-10-11,6274.580078
545,2018-10-12,6285.990233999999
546,2018-10-13,6290.930176
547,2018-10-14,6596.5400389999995
548,2018-10-15,6596.109863
549,2018-10-16,6544.430176
550,2018-10-17,6476.709961
551,2018-10-18,6465.410155999999
552,2018-10-19,6489.189941
553,2018-10-20,6482.350098
554,2018-10-21,6487.160156
555,2018-10-22,6475.740234
556,2018-10-23,6495.839844
557,2018-10-24,6476.290039
558,2018-10-25,6474.75
559,2018-10-26,6480.379882999999
560,2018-10-27,6486.390137
561,2018-10-28,6332.629883
562,2018-10-29,6334.270019999999
563,2018-10-30,6317.609863
564,2018-10-31,6377.779784999999
565,2018-11-01,6388.439941
566,2018-11-02,6361.259765999998
567,2018-11-03,6376.129883
568,2018-11-04,6419.660155999999
569,2018-11-05,6461.009765999999
570,2018-11-06,6530.140137
571,2018-11-07,6453.720214999999
572,2018-11-08,6385.620117
573,2018-11-09,6409.220215
574,2018-11-10,6411.270019999999
575,2018-11-11,6371.27002
576,2018-11-12,6359.490233999999
577,2018-11-13,5738.350098
578,2018-11-14,5648.029784999999
579,2018-11-15,5575.549805
580,2018-11-16,5554.330077999999
581,2018-11-17,5623.5400389999995
582,2018-11-18,4871.490234
583,2018-11-19,4451.870117
584,2018-11-20,4602.169922
585,2018-11-21,4365.939941
586,2018-11-22,4347.109863
587,2018-11-23,3880.76001
588,2018-11-24,4009.969971
589,2018-11-25,3779.129883
590,2018-11-26,3820.719971
591,2018-11-27,4257.419922
592,2018-11-28,4278.84668
593,2018-11-29,4017.268555
594,2018-11-30,4214.671875
595,2018-12-01,4139.87793
596,2018-12-02,3894.130859
597,2018-12-03,3956.893799
598,2018-12-04,3753.994873
599,2018-12-05,3521.101807
600,2018-12-06,3419.937256
601,2018-12-07,3476.114746
602,2018-12-08,3614.234375
603,2018-12-09,3502.656006
604,2018-12-10,3424.588135
605,2018-12-11,3486.950195
606,2018-12-12,3313.677246
607,2018-12-13,3242.484863
608,2018-12-14,3236.761719
609,2018-12-15,3252.839111
610,2018-12-16,3545.864746
611,2018-12-17,3696.059082
612,2018-12-18,3745.950684
613,2018-12-19,4134.441406
614,2018-12-20,3896.543701
615,2018-12-21,4014.182617
616,2018-12-22,3998.980225
617,2018-12-23,4078.5991209999997
618,2018-12-24,3815.490723
619,2018-12-25,3857.297607
620,2018-12-26,3654.833496
621,2018-12-27,3923.918701
622,2018-12-28,3820.408691
623,2018-12-29,3865.952637
624,2018-12-30,3742.700439
625,2018-12-31,3843.52002
626,2019-01-01,3943.409424
627,2019-01-02,3836.741211
628,2019-01-03,3857.717529
629,2019-01-04,3845.19458
630,2019-01-05,4076.632568
631,2019-01-06,4025.248291
632,2019-01-07,4030.8479
633,2019-01-08,4035.296387
634,2019-01-09,3678.924561
